puzzle,h1-tree_depth,h1-explored_nodes,h1-fringe_max,h2-tree_depth,h2-explored_nodes,h2-fringe_max,h3-tree_depth,h3-explored_nodes,h3-fringe_max,h4-tree_depth,h4-explored_nodes,h4-fringe_max
"[0, 2, 5, 1, 3, 4, 6, 7, 8]",6,22,14,6,19,12,6,19,12,6,19,12
"[3, 2, 5, 7, 6, 1, 4, 8, 0]",12,224,140,12,105,66,12,94,58,12,94,58
"[1, 4, 2, 6, 8, 7, 5, 3, 0]",12,222,140,12,70,45,12,53,34,12,94,60
"[0, 1, 2, 6, 4, 8, 7, 5, 3]",12,246,156,12,82,52,12,79,50,12,133,85
"[1, 7, 2, 3, 0, 5, 4, 6, 8]",8,69,44,8,44,28,8,44,28,8,44,28
"[3, 1, 2, 6, 5, 8, 0, 7, 4]",8,55,36,8,36,23,8,36,23,8,36,23
"[4, 3, 2, 1, 0, 5, 6, 7, 8]",6,45,29,6,35,23,6,35,23,6,35,23
"[3, 5, 1, 7, 0, 2, 4, 6, 8]",10,124,78,10,66,42,10,60,38,10,60,38
"[6, 4, 3, 5, 1, 2, 7, 8, 0]",16,1283,799,16,210,133,16,176,111,16,366,229
"[1, 2, 5, 3, 7, 4, 0, 6, 8]",6,19,12,6,19,12,6,19,12,6,19,12
"[1, 4, 2, 6, 3, 8, 0, 5, 7]",8,44,28,8,31,20,8,31,20,8,31,20
"[1, 5, 4, 6, 0, 8, 7, 2, 3]",14,690,426,14,145,91,14,113,70,14,210,132
"[1, 5, 4, 7, 6, 3, 0, 8, 2]",14,442,277,14,64,40,14,59,37,14,130,83
"[1, 8, 4, 3, 0, 2, 6, 5, 7]",10,121,77,10,48,31,10,45,29,10,59,38
"[0, 4, 3, 6, 5, 2, 7, 1, 8]",12,227,144,12,44,28,12,44,28,12,84,54
"[4, 7, 2, 1, 3, 6, 0, 5, 8]",20,8749,5384,20,1516,932,20,1099,677,20,2500,1543
"[1, 4, 2, 7, 0, 5, 3, 6, 8]",6,37,24,6,26,17,6,26,17,6,26,17
"[1, 2, 5, 3, 7, 4, 0, 6, 8]",6,19,12,6,19,12,6,19,12,6,19,12
"[1, 2, 5, 4, 3, 7, 0, 6, 8]",12,306,196,12,141,90,12,134,86,12,134,86
"[3, 1, 2, 6, 0, 4, 7, 8, 5]",6,19,12,6,19,12,6,19,12,6,19,12
"[3, 1, 2, 6, 0, 5, 7, 4, 8]",4,14,9,4,14,9,4,14,9,4,14,9
"[0, 3, 1, 7, 8, 2, 5, 6, 4]",16,1418,877,16,280,174,16,222,139,16,417,264
"[1, 7, 4, 3, 0, 2, 6, 8, 5]",8,50,32,8,28,18,8,28,18,8,28,18
"[1, 2, 0, 3, 6, 5, 7, 4, 8]",8,58,37,8,36,23,8,36,23,8,36,23
